round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
93,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,372,382
94,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,373,383
95,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,383,383
96,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,383,393
97,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,1,1,384,394
98,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,389,399
99,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,5,5,394,404
100,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,D,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,C,10,0,404,404
101,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,404,414
102,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,404,424
103,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,404,434
104,player_a7f34ed2-3ba9-497c-879f-d30c8bb1cb7d@localhost,Random,C,player_b023a9ca-fa89-474c-877c-66533b651d52@localhost,WinStayLoseShift,D,0,10,404,444
