round,p1_jid,p1_strategy,p1_action,p2_jid,p2_strategy,p2_action,p1_payoff,p2_payoff,p1_cumulative,p2_cumulative
282,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1410,1410
283,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1420,1410
284,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1420,1420
285,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1430,1420
286,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1430,1430
287,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1440,1430
288,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1440,1440
289,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1450,1440
290,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1450,1450
291,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1460,1450
292,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1460,1460
293,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1470,1460
294,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1470,1470
295,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1480,1470
296,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1480,1480
297,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1490,1480
298,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1490,1490
299,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1500,1490
300,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1500,1500
301,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1510,1500
302,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1510,1510
303,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1520,1510
304,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1520,1520
305,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1530,1520
306,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1530,1530
307,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1540,1530
308,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1540,1540
309,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1550,1540
310,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1550,1550
311,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1560,1550
312,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1560,1560
313,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1570,1560
314,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1570,1570
315,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1580,1570
316,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1580,1580
317,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1590,1580
318,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1590,1590
319,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1600,1590
320,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1600,1600
321,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1610,1600
322,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1610,1610
323,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1620,1610
324,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,C,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,D,0,10,1620,1620
325,player_8b70fe95-2f9a-4438-a51a-7a3d4763df08@localhost,SuspiciousTitForTat,D,player_5b8647e2-e519-47d5-9d51-8feba4fabc1a@localhost,Adaptive,C,10,0,1630,1620
